timestamp,can_id,signal,value,label
1769455123.984996,0x100,speed,0.0,replay
1769455123.984996,0x101,steering,0.0,replay
1769455123.984996,0x102,throttle,0.0,replay
1769455123.984996,0x103,brake,0.0,replay
1769455124.1036794,0x100,speed,0.0,replay
1769455124.1036794,0x101,steering,0.0,replay
1769455124.1036794,0x102,throttle,0.0,replay
1769455124.1036794,0x103,brake,0.0,replay
1769455124.2233613,0x100,speed,0.0,replay
1769455124.2233613,0x101,steering,0.0,replay
1769455139.1394591,0x100,speed,0.0,spoofing
1769455139.1394591,0x101,steering,0.9,spoofing
1769455139.1394591,0x102,throttle,0.0,spoofing
1769455139.1394591,0x103,brake,0.0,spoofing
1769455139.405429,0x100,speed,1.763,spoofing
1769455139.405429,0x101,steering,0.9,spoofing
1769455139.405429,0x102,throttle,0.0,spoofing
1769455139.405429,0x103,brake,0.0,spoofing
1769455139.7243772,0x100,speed,3.526,spoofing
1769455139.7243772,0x101,steering,0.9,spoofing
1769455139.7243772,0x102,throttle,0.0,spoofing
1769455139.7243772,0x103,brake,0.0,spoofing
1769455139.8753717,0x100,speed,5.288,spoofing
1769455139.8753717,0x101,steering,0.9,spoofing
1769455139.8753717,0x102,throttle,0.0,spoofing
1769455139.8753717,0x103,brake,0.0,spoofing
1769455140.0713985,0x100,speed,7.048,spoofing
1769455140.0713985,0x101,steering,0.9,spoofing
1769455140.0713985,0x102,throttle,0.0,spoofing
1769455140.0713985,0x103,brake,0.0,spoofing
1769455140.3143725,0x100,speed,8.808,spoofing
1769455140.3143725,0x101,steering,0.9,spoofing
1769455140.3143725,0x102,throttle,0.0,spoofing
1769455140.3143725,0x103,brake,0.0,spoofing
1769455140.4234114,0x100,speed,10.567,spoofing
1769455140.4234114,0x101,steering,0.9,spoofing
1769455140.4234114,0x102,throttle,0.0,spoofing
1769455140.4234114,0x103,brake,0.0,spoofing
1769455140.5053902,0x100,speed,12.325,spoofing
1769455140.5053902,0x101,steering,0.9,spoofing
1769455140.5053902,0x102,throttle,0.0,spoofing
1769455140.5053902,0x103,brake,0.0,spoofing
1769455140.7254572,0x100,speed,14.083,spoofing
1769455140.7254572,0x101,steering,0.9,spoofing
1769455140.7254572,0x102,throttle,0.0,spoofing
1769455140.7254572,0x103,brake,0.0,spoofing
1769455140.8697798,0x100,speed,15.839,spoofing
1769455140.8697798,0x101,steering,0.9,spoofing
1769455140.8697798,0x102,throttle,0.0,spoofing
1769455140.8697798,0x103,brake,0.0,spoofing
1769455141.2594025,0x100,speed,17.595,spoofing
1769455141.2594025,0x101,steering,0.9,spoofing
1769455141.2594025,0x102,throttle,0.0,spoofing
1769455141.2594025,0x103,brake,0.0,spoofing
1769455141.4543543,0x100,speed,19.349,spoofing
1769455141.4543543,0x101,steering,0.9,spoofing
1769455141.4543543,0x102,throttle,0.0,spoofing
1769455141.4543543,0x103,brake,0.0,spoofing
1769455141.622472,0x100,speed,19.552,spoofing
1769455141.622472,0x101,steering,0.9,spoofing
1769455141.622472,0x102,throttle,0.0,spoofing
1769455141.622472,0x103,brake,0.0,spoofing
1769455141.7888541,0x100,speed,10.52,spoofing
1769455141.7888541,0x101,steering,0.9,spoofing
1769455141.7888541,0x102,throttle,0.0,spoofing
1769455141.7888541,0x103,brake,0.0,spoofing
1769455141.9565127,0x100,speed,0.594,spoofing
1769455141.9565127,0x101,steering,0.9,spoofing
1769455141.9565127,0x102,throttle,0.0,spoofing
1769455141.9565127,0x103,brake,0.0,spoofing
1769455142.1599028,0x100,speed,0.676,spoofing
1769455142.1599028,0x101,steering,0.9,spoofing
1769455142.1599028,0x102,throttle,0.0,spoofing
1769455142.1599028,0x103,brake,0.0,spoofing
1769455142.4634283,0x100,speed,0.859,spoofing
1769455142.4634283,0x101,steering,0.9,spoofing
1769455142.4634283,0x102,throttle,0.0,spoofing
1769455142.4634283,0x103,brake,0.0,spoofing
1769455142.6036868,0x100,speed,0.886,spoofing
1769455142.6036868,0x101,steering,0.9,spoofing
1769455142.6036868,0x102,throttle,0.0,spoofing
1769455142.6036868,0x103,brake,0.0,spoofing
1769455142.7854333,0x100,speed,0.828,spoofing
1769455142.7854333,0x101,steering,0.9,spoofing
1769455142.7854333,0x102,throttle,0.0,spoofing
1769455142.7854333,0x103,brake,0.0,spoofing
1769455143.0255666,0x100,speed,0.73,spoofing
1769455143.0255666,0x101,steering,0.9,spoofing
1769455143.0255666,0x102,throttle,0.0,spoofing
1769455143.0255666,0x103,brake,0.0,spoofing
1769455143.1585052,0x100,speed,0.62,spoofing
1769455143.1585052,0x101,steering,0.9,spoofing
1769455143.1585052,0x102,throttle,0.0,spoofing
1769455143.1585052,0x103,brake,0.0,spoofing
1769455143.338613,0x100,speed,0.513,spoofing
1769455143.338613,0x101,steering,0.9,spoofing
